Scenario,Replication,Object Type,Object Name,Data Source,Time Period,Category,Data Item,Statistic Type,Value
Scenario1,9,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Minimum,0
Scenario1,10,ModelEntity,DefaultEntity,[Population],Run,Content,NumberInSystem,Minimum,0
Scenario1,1,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Average,0
Scenario1,2,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Average,0
Scenario1,3,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Average,0
Scenario1,4,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Average,0
Scenario1,5,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Average,0
Scenario1,6,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Average,0
Scenario1,7,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Average,0
Scenario1,8,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Average,0
Scenario1,9,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Average,0
Scenario1,10,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Average,0
Scenario1,1,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Maximum,0
Scenario1,2,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Maximum,0
Scenario1,3,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Maximum,0
Scenario1,4,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Maximum,0
Scenario1,5,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Maximum,0
Scenario1,6,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Maximum,0
Scenario1,7,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Maximum,0
Scenario1,8,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Maximum,0
Scenario1,9,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Maximum,0
Scenario1,10,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Maximum,0
Scenario1,1,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Minimum,0
Scenario1,2,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Minimum,0
Scenario1,3,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Minimum,0
Scenario1,4,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Minimum,0
Scenario1,5,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Minimum,0
Scenario1,6,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Minimum,0
Scenario1,7,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Minimum,0
Scenario1,8,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Minimum,0
Scenario1,9,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Minimum,0
Scenario1,10,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Minimum,0
Scenario1,1,ModelEntity,DefaultEntity,[Population],Run,Costs,CostPerItem,Observations,12240
